,Object_ID,Image_URL,Title,Object_Name,Medium,Classification,Department,Culture,Period,Object_Date,Target
1019,449412,https://images.metmuseum.org/CRDImages/is/web-large/wb-38.40.202b.JPG,Bowl,Bowl,Earthenware; red-brown slip with white slip decoration under transparent glaze,Ceramics,Islamic Art,,,late 9th–10th century,0
1020,694191,https://images.metmuseum.org/CRDImages/md/web-large/28.99.92.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
1021,201120,https://images.metmuseum.org/CRDImages/es/web-large/150925.jpg,Plate (part of a service),Plate,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,late 18th–early 19th century,0
1022,502529,https://images.metmuseum.org/CRDImages/mi/web-large/MIDP89.4.1950.jpg,Pottery Whistle,Pottery Whistle,Clay,Aerophone-Whistle Flute-whistle,Musical Instruments,Mexican,,mid 3rd–9th century?,0
1023,841266,https://images.metmuseum.org/CRDImages/es/web-large/DP-19544-019.jpg,Plaster mold of lizard,Model,Plaster,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1865–75,0
1024,48669,https://images.metmuseum.org/CRDImages/as/web-large/14_40_395_O1_sf.jpg,Vase,Vase,Porcelain,Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",,0
1025,53636,https://images.metmuseum.org/CRDImages/as/web-large/212870.jpg,Dish,Dish,"Stoneware with iron glaze and blue-drip glaze (Shimoshirakawa Arita ware, Suisaka type)",Ceramics,Asian Art,Japan,Edo period (1615–1868),second half of the 17th century,0
1026,62883,https://images.metmuseum.org/CRDImages/as/web-large/37283.jpg,Teabowl,Teabowl,"Clay covered with a pitted, black glaze (Raku ware)",Ceramics,Asian Art,Japan,Edo period (1615–1868),ca. 1720,0
1027,308637,https://images.metmuseum.org/CRDImages/ao/web-large/64.228.140.jpg,Tall Plain Cup,Cup,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Paracas,,5th–2nd century B.C.,0
1028,451758,https://images.metmuseum.org/CRDImages/is/web-large/sf64-207-4.jpg,Lamp,Lamp,Earthenware; unglazed,Ceramics,Islamic Art,,,7th–11th century,0
1029,454887,https://images.metmuseum.org/CRDImages/is/web-large/Lot 118.JPG,Bowl with Repeating Persian Inscription Wishing for Good Fortune,Bowl,Stonepaste; luster-painted on opaque white glaze,Ceramics,Islamic Art,,,dated A.H. 822/ A.D. 1419–20,0
1030,65099,https://images.metmuseum.org/CRDImages/as/web-large/DT2788.jpg,Tile with Women Playing a Board Game,Tile,Earthenware,Ceramics,Asian Art,China,Jin dynasty (1115–1234),13th century,0
1031,50766,https://images.metmuseum.org/CRDImages/as/web-large/1982_381_Tp.jpg,Bowl,Bowl,Stoneware with overglaze polychrome (Cizhou ware),Ceramics,Asian Art,China,Jin dynasty (1115–1234),,0
1032,308638,https://images.metmuseum.org/CRDImages/ao/web-large/64.228.141.jpg,Incised Painted Bowl,Bowl,"Ceramic, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Paracas,,5th–2nd century B.C.,0
1033,309398,https://images.metmuseum.org/CRDImages/ao/web-large/66.30.15.jpg,Miniature Jar with Two Handles,Jar,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Inca,,15th–early 16th century,0
1034,4387,https://images.metmuseum.org/CRDImages/ad/web-large/DP250077.jpg,Holy Water Basin,Holy water basin,Tin-glazed earthenware,,The American Wing,Mexican,,ca. 1840,0
1035,203193,https://images.metmuseum.org/CRDImages/es/web-large/DP167581.jpg,Candelabrum (one of a pair),Candelabrum,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1740,0
1036,47652,https://images.metmuseum.org/CRDImages/as/web-large/79_2_1191_O2_sf.jpg,Bowl with dragon and floral pattern,Bowl,"Porcelain painted in underglaze cobalt blue, with relief decoration, and celadon and dark brown glazes",Ceramics,Asian Art,China,Qing dynasty (1644–1911),19th century,0
1037,46833,https://images.metmuseum.org/CRDImages/as/web-large/61_200_40_S4_sf.jpg,Cup in form of flowers and leafs,Cup,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",late 17th–early 18th century,0
1038,466840,https://images.metmuseum.org/CRDImages/md/web-large/LC-29_25_1.jpg,"Tile, Ceiling",Tile,Earthenware,Ceramics-Tiles,Medieval Art,Spanish,,16th century,0
1039,39649,https://images.metmuseum.org/CRDImages/as/web-large/DP356175.jpg,Bowl with Dragons among Waves,Bowl,Stoneware with carved and incised decoration under celadon glaze (Yue ware),Ceramics,Asian Art,China,Five Dynasties (907–960),10th century,0
1040,478499,https://images.metmuseum.org/CRDImages/md/web-large/cop0321.jpg,Bowl,Bowl,Earthenware,Ceramics,Medieval Art,Coptic,,4th–7th century,0
1041,446628,https://images.metmuseum.org/CRDImages/is/web-large/sf14-6-75.jpg,Lamp,Lamp,Earthenware; molded,Ceramics,Islamic Art,,,3rd–8th century,0
1042,197930,https://images.metmuseum.org/CRDImages/es/web-large/110809.jpg,Plate (part of a service),Plate,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1784,0
1043,49902,https://images.metmuseum.org/CRDImages/as/web-large/45382.jpg,Figure of a Lady,Figure,Earthenware with traces of pigments,Tomb Pottery,Asian Art,China,Western Han dynasty (206 B.C.–A.D. 9),,0
1044,59777,https://images.metmuseum.org/CRDImages/as/web-large/147980.jpg,Female attendant with dustpan,Figure,Earthenware with pigment,Tomb Pottery,Asian Art,China,Sui dynasty (581–619),6th–7th century,0
1045,449358,https://images.metmuseum.org/CRDImages/is/web-large/LC-38_40_147front.jpg,Fragment of a Bowl,Fragment,Earthenware; slip covered with monochrome slip decoration under transparent glaze,Ceramics,Islamic Art,,,9th century,0
1046,203067,https://images.metmuseum.org/CRDImages/es/web-large/ES1936.jpg,Lovers with a birdcage,Group,"Hard paste-porcelain, gilt-bronze mount",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1736–38,0
1047,205457,https://images.metmuseum.org/CRDImages/es/web-large/ES6201.jpg,Plate,Plate,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1773,0
1048,37457,https://images.metmuseum.org/CRDImages/as/web-large/1986_505_1_243160.jpg,Bottle with Bulbous Neck,Bottle,Terracotta,Ceramics,Asian Art,Thailand,,14th century,0
1049,77313,https://images.metmuseum.org/CRDImages/as/web-large/1982_464_2.jpg,Shard (Study Collection),Shard,Ceramic with amber glaze,Ceramics,Asian Art,China,Qing dynasty (1644–1911),,0
1050,42273,https://images.metmuseum.org/CRDImages/as/web-large/62_222_8.jpg,Figure of Seated Gentleman,Figure,Porcelain painted in famille verte enamels on the biscuit,Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",late 17th–early 18th century,0
1051,50328,https://images.metmuseum.org/CRDImages/as/web-large/DP229722.jpg,Wine Bottle with Flowers and Grasses,Wine bottle,"Porcelain with underglaze blue decoration (Hizen ware, early Imari type)",Ceramics,Asian Art,Japan,Edo period (1615–1868),first half of the 17th century,0
1052,196283,https://images.metmuseum.org/CRDImages/es/web-large/69559.jpg,Tile,Tile,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,1580–1625,0
1053,62805,https://images.metmuseum.org/CRDImages/as/web-large/93_3_272.JPG,Tea Jar,Tea jar,Clay covered with a glaze with silvery specks,Ceramics,Asian Art,Japan,Edo period (1615–1868),1700,0
1054,62949,https://images.metmuseum.org/CRDImages/as/web-large/102717.jpg,Figure of Entertainer,Figure,Pottery with slip and traces of red paint,Tomb Pottery,Asian Art,China,Han dynasty (206 B.C.–A.D. 220),,0
1055,453997,https://images.metmuseum.org/CRDImages/is/web-large/sf66-95-12a.jpg,Double-Pentagon-Shaped Tile,Tile,"Stonepaste; overglaze-painted and gilded, over turquoise glaze",Ceramics-Tiles,Islamic Art,,,mid-13th–14th century,0
1056,451564,https://images.metmuseum.org/CRDImages/is/web-large/sf60-23-71b.jpg,Fragment,Fragment,Stonepaste; slip painted and glazed,Ceramics,Islamic Art,,,12th–13th century,0
1057,185915,https://images.metmuseum.org/CRDImages/es/web-large/28306.jpg,Standing cup and saucer,Standing cup and saucer,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1720–40,0
1058,238928,https://images.metmuseum.org/CRDImages/es/web-large/DP264081.jpg,Medici vase with a scene of the park at Saint-Cloud (one of a pair),Vase,"Hard-paste porcelain decorated in polychrome enamels, gold, gilt bronze",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1811,0
1059,187793,https://images.metmuseum.org/CRDImages/es/web-large/25164.jpg,Pair of saltcellars,Saltcellars,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,third quarter 18th century,0
1061,323160,https://images.metmuseum.org/CRDImages/an/web-large/me34_126_50.jpg,Barrel jug,Jug,"Ceramic, paint",,Ancient Near Eastern Art,,Iron Age II,ca. late 8th–7th century B.C.,0
1062,554965,https://images.metmuseum.org/CRDImages/eg/web-large/30.6.99-acc.jpg,Funerary Cone of the Vizier Ptahmose,"Cone, Ptahmose, circular impression, high priest of Amun, vizier, overseer, town",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
1063,231155,https://images.metmuseum.org/CRDImages/es/web-large/110798.jpg,Ice cream cup (Tasse à glace) (part of a service),Ice cream cup,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1780,0
1064,444491,https://images.metmuseum.org/CRDImages/is/web-large/sf91-1-163b.jpg,Cup,Cup,Stonepaste; luster-painted on opaque white glaze under transparent colorless glaze,Ceramics,Islamic Art,,,late 17th–18th century,0
1065,207235,https://images.metmuseum.org/CRDImages/es/web-large/232970.jpg,Snuffbox,Snuffbox,"Soft-paste porcelain, hardstone, gilt",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1755–60,0
1066,62925,https://images.metmuseum.org/CRDImages/as/web-large/28_106_2.JPG,Figure,Figure,Unglazed buff clay,Tomb Pottery,Asian Art,China,Northern Wei dynasty (386–534),6th century,0
1067,194293,https://images.metmuseum.org/CRDImages/es/web-large/DP-318-001.jpg,Pharmacy jar (albarello),Pharmacy jar,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,probably ca. 1542,0
1068,561101,https://images.metmuseum.org/CRDImages/eg/web-large/30.6.24-acc.jpg,Funerary Cone of the Overseer of Works of Montu Nebwa,"Cone, Nebwa, overseer of works, Montu",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
1070,63757,https://images.metmuseum.org/CRDImages/as/web-large/1975_268_686_O2_sf.jpg,Soba cup,Soba cup,Porcelain with underglaze blue (Hizen ware),Ceramics,Asian Art,Japan,middle Edo period (1615–1868),1700–1750,0
1071,15595,https://images.metmuseum.org/CRDImages/ad/web-large/DP229746.jpg,Vase,Vase,White earthenware,,The American Wing,American,,1896–1902,0
1072,196225,https://images.metmuseum.org/CRDImages/es/web-large/69532.jpg,Tiles,Tiles,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,late 17th century,0
1074,191149,https://images.metmuseum.org/CRDImages/es/web-large/SF09_129_7 ab.jpg,Cup (gobelet litron),Cup,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1785,0
1075,318291,https://images.metmuseum.org/CRDImages/ao/web-large/rs_X.2.410.JPG,"Jar, Geometric Pattern",Jar,"Ceramic, slip",Ceramics-Containers,The Michael C. Rockefeller Wing,Quimbaya,,9th–14th century,0
1076,42435,https://images.metmuseum.org/CRDImages/as/web-large/DP-14610-066.jpg,Pillow with boy on hobbyhorse,Pillow,Stoneware painted with brown and black pigment over white slip under clear glaze (Cizhou ware),Ceramics,Asian Art,China,Jin dynasty (1115–1234),12th–13th century,0
1077,318296,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23883-001.jpg,Figure Vessel,Vessel,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Quimbaya,,9th–14th century,0
1078,206062,https://images.metmuseum.org/CRDImages/es/web-large/LC-1974_356_542.jpg,Duck (one of a pair),Figure,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,1760–70,0
1079,202966,https://images.metmuseum.org/CRDImages/es/web-large/219711.jpg,Plate,Plate,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1760,0
1082,47902,https://images.metmuseum.org/CRDImages/as/web-large/55275.jpg,Figure of Farmer,Figure,"Pottery; the hands and face unglazed, decorated with colored enamels",Ceramics,Asian Art,Japan,Edo period (1615–1868),1860,0
1083,47800,https://images.metmuseum.org/CRDImages/as/web-large/75996.jpg,Bowl with flowers,Bowl,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",late 17th–early 18th century,0
1084,51973,https://images.metmuseum.org/CRDImages/as/web-large/10_202_17_9633.jpg,Tile,Tile,Earthenware,Ceramics,Asian Art,China,Qin–Han dynasty (221 B.C.–A.D. 220),,0
1086,326140,https://images.metmuseum.org/CRDImages/an/web-large/ME1972_222_83.jpg,Bowl rim sherd,Bowl,Ceramic,,Ancient Near Eastern Art,,Early Bronze Age,ca. late 3rd millennium B.C.,0
1087,207156,https://images.metmuseum.org/CRDImages/es/web-large/ES6158.jpg,Hussar,Figure,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1740–45,0
1088,314180,https://images.metmuseum.org/CRDImages/ao/web-large/1980.34.35.jpg,Pedestal Bowl,Bowl,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Capulí,,11th–16th century,0
1089,467574,https://images.metmuseum.org/CRDImages/md/web-large/sf32-64-59bs1.jpg,Tile with Geometric Design,Tile,"Earthenware, glaze",Ceramics-Tiles,Medieval Art,Spanish,,16th century,0
1090,53626,https://images.metmuseum.org/CRDImages/as/web-large/210396.jpg,Pulley-Shaped Earrings,Earrings,Earthenware,Ceramics,Asian Art,Japan,Final Jōmon period (ca. 1000–300 B.C.) or later,,0
1091,446508,https://images.metmuseum.org/CRDImages/is/web-large/sf13-190-240a.jpg,Fragment of Dish,Fragment,Stonepaste; underglaze painted under turquoise glaze,Ceramics,Islamic Art,,,14th–15th century,0
1093,478741,https://images.metmuseum.org/CRDImages/md/web-large/cop0462s1.jpg,Fragment of a Pot Neck,Fragment,Earthenware,Ceramics,Medieval Art,Coptic,,4th–7th century,0
1094,198459,https://images.metmuseum.org/CRDImages/es/web-large/119670.jpg,Teapot (part of a service),Teapot,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1765–75,0
1095,199518,https://images.metmuseum.org/CRDImages/es/web-large/DP-1372-063.jpg,Bagpiper,Figure,Lead-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1750,0
1096,46135,https://images.metmuseum.org/CRDImages/as/web-large/56_60_a_b_O1.jpg,Model of a storage box,Box model,Earthenware with lead glaze,Tomb Pottery,Asian Art,China,Han dynasty (206 B.C.–A.D. 220),1st–2nd century,0
1097,204067,https://images.metmuseum.org/CRDImages/es/web-large/DP-1006-040.jpg,Token money,Token money,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1780,0
1098,309440,https://images.metmuseum.org/CRDImages/ao/web-large/67.167.5.JPG,Crab Demon Bottle,Bottle,"Ceramic, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Moche,,4th–7th century,0
1099,307755,https://images.metmuseum.org/CRDImages/ao/web-large/00.5.1328.jpg,Pedestal Bowl,Bowl,"Ceramic, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Isla de Sacrificios,,9th–15th century,0
1100,207127,https://images.metmuseum.org/CRDImages/es/web-large/DP170410.jpg,Beaker with Imperial Russian Arms,Beaker,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1735,0
1102,771053,https://images.metmuseum.org/CRDImages/es/web-large/DP-16489-370.jpg,Octagonal vase with scenes of the story of the silkworm,Vase,"Bone china (""ivory porcelain"") with enamel decoration and gilding",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1873,0
1103,446693,https://images.metmuseum.org/CRDImages/is/web-large/wb-15.76.6.JPG,Tile from a Frieze,Tile from a frieze,"Stonepaste; inglaze painted in blue and turquoise, luster-painted on opaque white glaze, modeled",Ceramics-Tiles,Islamic Art,,,early 14th century,0
1104,308466,https://images.metmuseum.org/CRDImages/ao/web-large/63.232.58.JPG,Double Spout Bottle,Bottle,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Paracas,,2nd–1st century B.C.,0
1105,447070,https://images.metmuseum.org/CRDImages/is/web-large/wb-19.67.JPG,Ewer with Sailing-Ship Design,Ewer,Stonepaste; polychrome painted under transparent glaze,Ceramics,Islamic Art,,,early 17th century,0
1106,47783,https://images.metmuseum.org/CRDImages/as/web-large/20808.jpg,Vase,Vase,Porcelain,Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Qianlong period (1736–95)",,0
1107,210204,https://images.metmuseum.org/CRDImages/es/web-large/110912.jpg,Plate (Assiette à palmes) (1 of 102) (part of a service),Plate,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1786,0
1108,52553,https://images.metmuseum.org/CRDImages/as/web-large/213904.jpg,Court lady,Figure,Earthenware with traces of pigment,Tomb Pottery,Asian Art,China,Tang dynasty (618–907),7th–8th century,0
1109,188549,https://images.metmuseum.org/CRDImages/es/web-large/124315.jpg,Saucer,Saucer,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1745–50,0
1111,46242,https://images.metmuseum.org/CRDImages/as/web-large/86729.jpg,Covered bowl with floral patterns,Covered bowl,Porcelain painted in overglaze polychrome enamels (Bencharong ware for Thai market ),Ceramics,Asian Art,China,Qing dynasty (1644–1911),19th century,0
1112,190943,https://images.metmuseum.org/CRDImages/es/web-large/4776.jpg,Tile,Tile,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th century,0
1113,200933,https://images.metmuseum.org/CRDImages/es/web-large/148735.jpg,Bowl,Bowl,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,"ca. 1720–25, decorated ca. 1744–48",0
1114,770962,https://images.metmuseum.org/CRDImages/es/web-large/DP-16489-233.jpg,Orb vase with gold fern motif,Vase,Porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1870,0
1115,452464,https://images.metmuseum.org/CRDImages/is/web-large/sf1973-79-44b.jpg,Fragment of a Bowl or Cup,Fragment,Stonepaste; painted under transparent glaze,Ceramics,Islamic Art,,,13th–16th century,0
1116,52467,https://images.metmuseum.org/CRDImages/as/web-large/93_3_275.JPG,Nesting Wine Cup,Wine cup,White porcelain decorated with blue under the glaze (Hirado ware),Ceramics,Asian Art,Japan,Edo period (1615–1868),1820,0
1117,451363,https://images.metmuseum.org/CRDImages/is/web-large/ISL511.jpg,Jar,Jar,Stonepaste; painted under transparent turquoise glaze,Ceramics,Islamic Art,,,late 12th–early 13th century,0
1118,308648,https://images.metmuseum.org/CRDImages/ao/web-large/64.228.151.jpg,Double Spout and Bridge Bottle with Bird,Bottle,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Paracas,,5th–2nd century B.C.,0
1120,198788,https://images.metmuseum.org/CRDImages/es/web-large/DP326522.jpg,Wide-rimmed bowl depicting figures from Virgil's Aeneid,Bowl,"Maiolica (tin-glazed earthenware), lustered",Ceramics-Pottery,European Sculpture and Decorative Arts,,,1525,0
1121,47439,https://images.metmuseum.org/CRDImages/as/web-large/79_2_1237_O1_sf.jpg,Vase,Vase,Porcelain with turquoise glaze,Ceramics,Asian Art,China,Qing dynasty (1644–1911),first half of the 19th century,0
1123,308886,https://images.metmuseum.org/CRDImages/ao/web-large/65.266.35.JPG,Stirrup Spout Bottle with Figure,Bottle,"Ceramic, slip, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Moche,,4th–7th century,0
1124,316003,https://images.metmuseum.org/CRDImages/ao/web-large/1988.117.9.jpg,Vessel with Face,Vessel,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Manteño,,6th–10th century,0
1125,447231,https://images.metmuseum.org/CRDImages/is/web-large/sf20-120-157a.jpg,Lamp,Lamp,Earthenware; glazed,Ceramics,Islamic Art,,,probably 12th–13th century,0
1126,318044,https://images.metmuseum.org/CRDImages/ao/web-large/hz1999_47_123.jpg,Bowl,Jar,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Chupicuaro,,1st century B.C.–A.D. 3rd century,0
1127,49358,https://images.metmuseum.org/CRDImages/as/web-large/09_194_23_O1_sf.jpg,Bowl,Bowl,Porcelain with glaze,Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Yongzheng mark and period (1723–35)",,0
1128,308633,https://images.metmuseum.org/CRDImages/ao/web-large/64.228.136.jpg,Incised Painted Bowl,Bowl,"Ceramic, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Paracas,,5th–2nd century B.C.,0
1129,47938,https://images.metmuseum.org/CRDImages/as/web-large/79_2_190ab_O1_sf.jpg,Ewer with floral pattern,Ewer,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),Ceramics,Asian Art,China,Qing dynasty (1644–1911),18th century,0
1130,46179,https://images.metmuseum.org/CRDImages/as/web-large/86660.jpg,Saucer with floral pattern,Saucer,Porcelain painted in overglaze polychrome enamels (Bencharong ware for Thai market),Ceramics,Asian Art,China,Qing dynasty (1644–1911),19th century,0
1131,50910,https://images.metmuseum.org/CRDImages/as/web-large/29_100_365_O1_sf.jpg,Water Pot,Pot,Porcelain with peach-bloom glaze,Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Qianlong mark and period (1736–95)",18th century,0
1133,37490,https://images.metmuseum.org/CRDImages/as/web-large/1989_238_32ab.jpg,Covered Box,Covered box,Earthenware with cream white glaze and iron-brown underglaze decoration,Ceramics,Asian Art,Thailand (Si Satchanalai),,14th–ca. mid-16th century,0
1134,236202,https://images.metmuseum.org/CRDImages/es/web-large/DP201025.jpg,"Small tray, cup and saucer (déjeuner carré)","Small tray, cup and saucer",Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1765–70,0
1135,202481,https://images.metmuseum.org/CRDImages/es/web-large/171536.jpg,Plate,Plate,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1750–60,0
1136,202620,https://images.metmuseum.org/CRDImages/es/web-large/SF62_86_4.jpg,Teacup,Teacup,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1840,0
1137,190926,https://images.metmuseum.org/CRDImages/es/web-large/152103.jpg,Tile,Tile,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th century,0
1138,190955,https://images.metmuseum.org/CRDImages/es/web-large/4774.jpg,Tile,Tile,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th century,0
1140,835321,https://images.metmuseum.org/CRDImages/es/web-large/DP-19429-047.jpg,Porcelain flower (one of a set of nine),Porcelain Flower,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,mid-18th century,0
1141,449347,https://images.metmuseum.org/CRDImages/is/web-large/wb-38.40.136.JPG,Bowl,Bowl,Earthenware; slip covered with monocrhome slip decoration under transparent glaze,Ceramics,Islamic Art,,,late 9th–early 10th century,0
1142,202562,https://images.metmuseum.org/CRDImages/es/web-large/DP-470-016.jpg,Miniature seal,Seal,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,18th century,0
1143,448869,https://images.metmuseum.org/CRDImages/is/web-large/sf32-150-428b.jpg,Fragment of a Handle with Wavy Band and Rosette-Shaped Thumb Rest,Handle,Earthenware; molded and applied,Ceramics,Islamic Art,,,9th–11th century,0
1144,203572,https://images.metmuseum.org/CRDImages/es/web-large/210201.jpg,Dancer (one of a pair),Figure,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1755,0
1145,451538,https://images.metmuseum.org/CRDImages/is/web-large/sf60-23-42.jpg,Fragment,Fragment,Earthenware; splash glazed decoration,Ceramics,Islamic Art,,,9th–10th century,0
1146,558256,https://images.metmuseum.org/CRDImages/eg/web-large/MMA36.1.68.jpg,Rough ware jar,"Jar, Rough ware",Pottery,,Egyptian Art,,Predynastic Period,ca. 3850–2960 B.C.,0
1148,449080,https://images.metmuseum.org/CRDImages/is/web-large/jh-36.20.49.JPG,Ewer,Ewer,Earthenware; turquoise glaze,Ceramics,Islamic Art,,,11th century,0
1149,479326,https://images.metmuseum.org/CRDImages/md/web-large/cop0689s1.jpg,Pottery Fragment,Fragment,"Earthenware, glazed (faience)",Ceramics,Medieval Art,Coptic,,4th–7th century,0
1150,202469,https://images.metmuseum.org/CRDImages/es/web-large/171524.jpg,Mug (one of two),Mug,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1775,0
1151,8508,https://images.metmuseum.org/CRDImages/ad/web-large/130768.jpg,Tile,Tile,"Earthenware, transfer-printed",,The American Wing,British,,1771–76 (?),0
1153,706069,https://images.metmuseum.org/CRDImages/es/web-large/DP-1687-031.jpg,Jug,Jug,Glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1892–96,0
1154,190912,https://images.metmuseum.org/CRDImages/es/web-large/4745.jpg,Tile,Tile,Tile-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,1620–40,0
1156,325801,https://images.metmuseum.org/CRDImages/an/web-large/ME65_163_72.jpg,Spouted jar,Jar,Ceramic,,Ancient Near Eastern Art,Iran,"Iron Age II, Hasanlu Period IV",ca. 9th century B.C.,0
1157,318964,https://images.metmuseum.org/CRDImages/ao/web-large/75B_18BR2.jpg,Reclining Dog,Dog figure,Ceramic,Ceramics-Sculpture,The Michael C. Rockefeller Wing,Colima,,200 B.C.–A.D. 300,0
1158,64458,https://images.metmuseum.org/CRDImages/as/web-large/2001_794_230.JPG,Figure of Fertility Goddess,Figure,Terracotta,Ceramics,Asian Art,Baluchistan,,ca. 2700–2000 B.C.,0
1159,52261,https://images.metmuseum.org/CRDImages/as/web-large/207733.jpg,Jar,Jar,"Porcelain painted in overglaze polychrome enamels (Arita ware, Kakiemon type)",Ceramics,Asian Art,Japan,early Edo period (1615–1868),late 17th century,0
1160,47106,https://images.metmuseum.org/CRDImages/as/web-large/16064.jpg,Bottle,Bottle,Clay partly covered with a Seto glaze; the remaining part decorated and covered with a transparent glaze (Kiyomizu ware),Ceramics,Asian Art,Japan,Edo (1615–1868) or Meiji period (1868–1912),19th century,0
1162,210112,https://images.metmuseum.org/CRDImages/es/web-large/110658.jpg,Ice cream cup (Tasse à glace) (part of a service),Ice cream cup,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1771,0
1163,646,https://images.metmuseum.org/CRDImages/ad/web-large/DP252536.jpg,Bottle,Bottle,Mottled brown earthenware,,The American Wing,American,,1849–58,0
